NUM_INDX,DESCRIPCION_INDX,DESCRIPCION_INDX_NORM,PILAR,SUBPILAR,DESCRIPCION_PILAR,AÑO,CATEGORIA_INDX,CATEGORIA_DESC,FACTOR
12.02,Quality of scientific research institutions,quality of scientific research institutions,12,2,Capacidad de Innovación,2015,C,Factores de Innovación y Sofisticación,0.1
12.03,Company spending on R&D,company spending on rd,12,3,Capacidad de Innovación,2015,C,Factores de Innovación y Sofisticación,0.1
12.04,University-industry collaboration in R&D,universityindustry collaboration in rd,12,4,Capacidad de Innovación,2015,C,Factores de Innovación y Sofisticación,0.1
12.05,Government procurement of advanced technology products,government procurement of advanced technology products,12,5,Capacidad de Innovación,2015,C,Factores de Innovación y Sofisticación,0.1
12.06,Availability of scientists and engineers,availability of scientists and engineers,12,6,Capacidad de Innovación,2015,C,Factores de Innovación y Sofisticación,0.1
12.07,PCT patent applications,pct patent applications,12,7,Capacidad de Innovación,2015,C,Factores de Innovación y Sofisticación,0.1
1.01,Property rights,property rights,1,1,Instituciones,2016,A,Requisitos Básicos,0.4
1.02,Intellectual property protection,intellectual property protection,1,2,Instituciones,2016,A,Requisitos Básicos,0.4
1.03,Diversion of public funds,diversion of public funds,1,3,Instituciones,2016,A,Requisitos Básicos,0.4
1.04,Public trust in politicians,public trust in politicians,1,4,Instituciones,2016,A,Requisitos Básicos,0.4
1.05,Irregular payments and bribes,irregular payments and bribes,1,5,Instituciones,2016,A,Requisitos Básicos,0.4
1.06,Judicial independence,judicial independence,1,6,Instituciones,2016,A,Requisitos Básicos,0.4
1.07,Favoritism in decisions of government officials,favoritism in decisions of government officials,1,7,Instituciones,2016,A,Requisitos Básicos,0.4
1.08,Wastefulness of government spending,wastefulness of government spending,1,8,Instituciones,2016,A,Requisitos Básicos,0.4
1.09,Burden of government regulation,burden of government regulation,1,9,Instituciones,2016,A,Requisitos Básicos,0.4
1.10,Efficiency of legal framework in settling disputes,efficiency of legal framework in settling disputes,1,10,Instituciones,2016,A,Requisitos Básicos,0.4
